Image ID,Label,correct_obj+context,context,correct_obj
500270,person,a person skateboarding near a skateboarding park at sunset.,a  skateboarding near a skateboarding park at sunset.,person
500270,skateboard,A woman in black shirt riding a skateboard.,A woman in black shirt riding a .,skateboard
308165,skateboard,a man on a skateboard in mid air going over a cone in some dirt,a man on a  in mid air going over a cone in some dirt,skateboard
125245,broccoli,tied together broccoli inside an aquarium with fish,tied together  inside an aquarium with fish,broccoli
544444,person,A person skis down a snowy hill. ,A  skis down a snowy hill. ,person
544444,skis,A person skis down a snowy hill. ,A person  down a snowy hill. ,skis
378244,person,A person skiing down a slope next to snow covered trees.,A  skiing down a slope next to snow covered trees.,person
378244,skis,A person in a ski suit skiing down a slope,A person in a  suit ing down a slope,ski
90956,skis,A man riding skis down a snow covered ski slope.,A man riding s down a snow covered  slope.,ski
313562,carrot,A woman selling raw carrots at an outdoor market,A woman selling raw  at an outdoor market,carrots
258388,skateboard,A teenager shoots flames at a friend balancing on a skateboard.,A teenager shoots flames at a friend balancing on a .,skateboard
273711,bowl,"A table topped with plates, bowls and containers of food.","A table topped with plates,  and containers of food.",bowls
358195,skateboard,A little girl wearing pajamas is riding on a skateboard.,A little girl wearing pajamas is riding on a .,skateboard
3553,person,a person skating on some pieces of wood ,a  skating on some pieces of wood ,person
3553,skateboard,"Legs on a skateboard going down a small ramp,","Legs on a  going down a small ramp,",skateboard
253819,skateboard,A man that is jumping in the air with a skateboard.,A man that is jumping in the air with a .,skateboard
278705,car,Skateboarders riding down the street on boards next to cars.,Skateboarders riding down the street on boards next to .,cars
278705,person,This is an image through a window looking at two people on skateboards.,This is an image through a window looking at two  on skateboards.,people
278705,skateboard,This is an image through a window looking at two people on skateboards.,This is an image through a window looking at two people on .,skateboards
187990,skateboard,A boy is riding a skateboard on a ramp.,A boy is riding a  on a ramp.,skateboard
51938,person,A person on skis does a trick on a rail.,A  on skis does a trick on a rail.,person
51938,skis,A person on skis does a trick on a rail.,A person on  does a trick on a rail.,skis
45090,surfboard,A couple of men in the water on surfboards.,A couple of men in the water on .,surfboards
396729,bed,"A remote control, book and phone sitting on  a bed","A remote control, book and phone sitting on  a ",bed
396729,cell phone,A cell phone and game case on a bed.,A  and game case on a bed.,cell phone
396729,remote,"A remote control, book and phone sitting on  a bed","A  control, book and phone sitting on  a bed",remote
396729,book,"A remote control, book and phone sitting on  a bed","A remote control,  and phone sitting on  a bed",book
347174,bed,A woman laying in bed  in her underwear.,A woman laying in   in her underwear.,bed
341196,person,A person on a surfboard riding the waves.,A  on a surfboard riding the waves.,person
341196,surfboard,A man riding a wave on top of a surfboard.,A man riding a wave on top of a .,surfboard
439525,cake,A man and a woman cutting up a small white cake.,A man and a woman cutting up a small white .,cake
439525,knife,A man and a woman cutting into a cake with a knife.,A man and a woman cutting into a cake with a .,knife
329455,person,Some people sitting at a table with a large oval shaped pizza.,Some  sitting at a table with a large oval shaped pizza.,people
329455,pizza,A very large pizza on a wooden table .,A very large  on a wooden table .,pizza
302990,person,A person with a surfboard in a room.,A  with a surfboard in a room.,person
302990,surfboard,A person with a surfboard in a room.,A person with a  in a room.,surfboard
262587,surfboard,A man riding a wave on top of a yellow surfboard.,A man riding a wave on top of a yellow .,surfboard
117719,bottle,A man sits at a bar in front of dozens of bottles of alcohol.,A man sits at a bar in front of dozens of  of alcohol.,bottles
127476,pizza,A pizza that is sitting on a plastic tray.,A  that is sitting on a plastic tray.,pizza
499313,pizza,A deep dish and thick crusted pizza with toppings.,A deep dish and thick crusted  with toppings.,pizza
309678,person,A person is holding a tomato above a tray.,A  is holding a tomato above a tray.,person
309678,pizza,A large square pizza sitting on top of a pan.,A large square  sitting on top of a pan.,pizza
113720,person,Two people sit at a table with two pizzas.,Two  sit at a table with two pizzas.,people
113720,pizza,A couple is sitting at a table eating pizza.,A couple is sitting at a table eating .,pizza
107339,couch,A pretty young lady standing in front of a couch behind a wooden table.,A pretty young lady standing in front of a  behind a wooden table.,couch
107339,remote,A young girl is using a video game remote control.,A young girl is using a video game  control.,remote
468501,couch,Two people using an interactive gaming system while a person observes them from a couch.,Two people using an interactive gaming system while a person observes them from a .,couch
468501,person,Two people using an interactive gaming system while a person observes them from a couch.,Two  using an interactive gaming system while a person observes them from a couch.,people
511760,kite,A man and a child flying a kite. ,A man and a child flying a . ,kite
361730,person,A large group of people flying kites beside a body of water,A large group of  flying kites beside a body of water,people
361730,kite,A large group of people flying kites beside a body of water,A large group of people flying  beside a body of water,kites
427077,baseball bat,A man stands poised with a baseball bat.,A man stands poised with a .,baseball bat
555972,vase,Two pink flowers in oddly shaped wood vase.,Two pink flowers in oddly shaped wood .,vase
69795,vase,a watering can for a vase of purple flowers,a watering can for a  of purple flowers,vase
577735,vase,a small copper vase with some flowers in it,a small copper  with some flowers in it,vase
325527,teddy bear,a brown teddy bear sitting on a huge box,a brown  sitting on a huge box,teddy bear
465718,cell phone,"A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a cell phone on it. ","A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a  on it. ",cell phone
465718,laptop,A computer desk topped with two monitors and a laptop.,A computer desk topped with two monitors and a .,laptop
465718,mouse,"A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a cell phone on it. ","A desk with a laptop, two monitors, two speakers, a keyboard, a  and a cell phone on it. ",mouse
465718,keyboard,a table with so many screen and a keyboard,a table with so many screen and a ,keyboard
285349,vase,Multiple colors of origami birds in a heat shaped vase.  ,Multiple colors of origami birds in a heat shaped .  ,vase
322163,person,some people in a kitchen preparing food on a counter,some  in a kitchen preparing food on a counter,people
322163,pizza,A man making a pizza in a kitchen. ,A man making a  in a kitchen. ,pizza
346968,cell phone,A woman in a blue uniform holding a cell phone up to her ear.,A woman in a blue uniform holding a  up to her ear.,cell phone
229216,cell phone,two ladies sitting down looking at a cell phone,two ladies sitting down looking at a ,cell phone
563882,person,an image of a person on their cellular phone,an image of a  on their cellular phone,person
563882,cell phone,a person sitting in a meeting room holding their cell phone,a person sitting in a meeting room holding their ,cell phone
199681,microwave,A microwave with a stuffed animal inside reads 2:46. ,A  with a stuffed animal inside reads 2:46. ,microwave
313130,refrigerator,A metallic refrigerator freezer next to a microwave oven.,A metallic  freezer next to a microwave oven.,refrigerator
313130,microwave,a silver fridge sits in a room next to a microwave ,a silver fridge sits in a room next to a  ,microwave
294163,clock,A large white clock tower filled with light.,A large white  tower filled with light.,clock
176232,vase,A decorative flower vase with lavender in it.,A decorative flower  with lavender in it.,vase
407403,vase,A painting of a white vase holding yellow tulips.,A painting of a white  holding yellow tulips.,vase
562843,cell phone,a cell phone screwdriver a pair of scissors and a black thing on a desk,a  screwdriver a pair of scissors and a black thing on a desk,cell phone
562843,cup,"A close up of a cell phone, scissors and a cup.","A close up of a cell phone, scissors and a .",cup
562843,scissors,a cell phone screwdriver a pair of scissors and a black thing on a desk,a cell phone screwdriver a pair of  and a black thing on a desk,scissors
483999,dining table,A group of people at a dining table talking to each other.,A group of people at a  talking to each other.,dining table
483999,person,A group of people at a dining table talking to each other.,A group of  at a dining table talking to each other.,people
58705,person,Two people posing in funny hats for a camera,Two  posing in funny hats for a camera,people
58705,banana,A man wearing a helmet while holding a banana next to a woman wearing a helmet.,A man wearing a helmet while holding a  next to a woman wearing a helmet.,banana
216497,chair,Some chairs sit at an island near an open door. ,Some  sit at an island near an open door. ,chairs
216497,sink,a kitchen with a stove a table some chairs and a sink,a kitchen with a stove a table some chairs and a ,sink
323263,cell phone,A young girl speaking on a cell phone near a produce vendor.,A young girl speaking on a  near a produce vendor.,cell phone
323263,person,A group of people standing around a blue building.,A group of  standing around a blue building.,people
506310,bottle,A room with an empty and open refrigerator and a shelf of bottles.,A room with an empty and open refrigerator and a shelf of .,bottles
506310,refrigerator,A room with an empty and open refrigerator and a shelf of bottles.,A room with an empty and open  and a shelf of bottles.,refrigerator
248334,boat,a boat filled with people going down a river,a  filled with people going down a river,boat
248334,person,a boat filled with people going down a river,a boat filled with  going down a river,people
400803,boat,A man standing on top of an orange boat on a river.,A man standing on top of an orange  on a river.,boat
400803,person,a boat with some people on it drive through a water way ,a boat with some  on it drive through a water way ,people
422706,boat,People watching off the side of a cruise ship as a life boat is lowered.,People watching off the side of a cruise ship as a life  is lowered.,boat
422706,person,some people are leaning over a railing on a boat ,some  are leaning over a railing on a boat ,people
7574,bottle,a kitchen filled with assorted items like a bottle of dish soap ,a kitchen filled with assorted items like a  of dish soap ,bottle
7574,refrigerator,A metallic refrigerator freezer sitting inside of a kitchen.,A metallic  freezer sitting inside of a kitchen.,refrigerator
7574,sink,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it.","A kitchen with two , a counter, detergent, a stove and a refrigerator in it.",sinks
542089,sink,a bathroom with a bath tub a sink and a mirror,a bathroom with a bath tub a  and a mirror,sink
53505,toilet,A toilet sitting underneath a medicine cabinet in a bathroom.,A  sitting underneath a medicine cabinet in a bathroom.,toilet
53505,bottle,There are a variety of bottles and two towels over the toilet.,There are a variety of  and two towels over the toilet.,bottles
500464,sink,Bathroom with a white tiled floor and sink.,Bathroom with a white tiled floor and .,sink
78823,dog,A dog standing on the back of a brown car.,A  standing on the back of a brown car.,dog
78823,car,A dog standing on the back of a brown car.,A dog standing on the back of a brown .,car
527220,car,A red car next to a gas station sign and parked blue and silver motorcycles.,A red  next to a gas station sign and parked blue and silver motorcycles.,car
527220,motorcycle,A red car next to a gas station sign and parked blue and silver motorcycles.,A red car next to a gas station sign and parked blue and silver .,motorcycles
178982,motorcycle,there are two people on motorcycles approaching a tunnel,there are two people on  approaching a tunnel,motorcycles
178982,person,these people are riding bikes in the street at night,these  are riding bikes in the street at night,people
332455,toilet,a close up of a toilet with a pink seat and lid,a close up of a  with a pink seat and lid,toilet
408696,person,A man sits on a broken toilet as people walk by. ,A man sits on a broken toilet as  walk by. ,people
408696,toilet,A man sitting on a toilet that isn't connected to anything. ,A man sitting on a  that isn't connected to anything. ,toilet
144300,motorcycle,A motorcycle and people looking a travel vehicles.,A  and people looking a travel vehicles.,motorcycle
144300,person,A motorcycle and people looking a travel vehicles.,A motorcycle and  looking a travel vehicles.,people
7816,motorcycle,a rider dressed in white riding a matching white motorcycle ,a rider dressed in white riding a matching white  ,motorcycle
7816,person,A person on a motor bike travels around a sharp corner.,A  on a motor bike travels around a sharp corner.,person
152120,motorcycle,A man in a jean jacket riding a motorcycle on a road.,A man in a jean jacket riding a  on a road.,motorcycle
152120,person,a person riding a motorcycle around a curve in the road.,a  riding a motorcycle around a curve in the road.,person
308631,motorcycle,People stand around an antique motorcycle in a grassy area.,People stand around an antique  in a grassy area.,motorcycle
308631,person,An old with motorcycle with people standing beside it.,An old with motorcycle with  standing beside it.,people
517523,airplane,A 787 airplane is landing at the airport.,A 787  is landing at the airport.,airplane
5477,airplane,large mustard yellow commercial airplane parked in the airport,large mustard yellow commercial  parked in the airport,airplane
15272,traffic light,A traffic light in front of trees with white blossoms.,A  in front of trees with white blossoms.,traffic light
391375,bench,A girl sitting on a bench in front of a stone wall.,A girl sitting on a  in front of a stone wall.,bench
442661,giraffe,a giraffe stares out of a glass window ,a  stares out of a glass window ,giraffe
69138,traffic light,A red traffic light with a sad face drawn over it.,A red  with a sad face drawn over it.,traffic light
104619,giraffe,a baby giraffe walking away from the shady area ,a baby  walking away from the shady area ,giraffe
432553,dog,A couple of dogs viewing something as a person sits in a chair.,A couple of  viewing something as a person sits in a chair.,dogs
432553,bicycle,Two dogs in the aisle of a bus next to a bicycle.,Two dogs in the aisle of a bus next to a .,bicycle
432553,person,A couple of dogs viewing something as a person sits in a chair.,A couple of dogs viewing something as a  sits in a chair.,person
548267,sheep,A herd of sheep grazing on a lush green field.,A herd of  grazing on a lush green field.,sheep
315187,car,On the road  a bus and a car are going.,On the road  a bus and a  are going.,car
315187,bus,an old passenger bus parked next to a walgreens ,an old passenger  parked next to a walgreens ,bus
76417,dog,A dog is sticking it head outside of a car window ,A  is sticking it head outside of a car window ,dog
76417,car,A dog is sticking it head outside of a car window ,A dog is sticking it head outside of a  window ,car
76417,traffic light,a dog in a car on a street near a traffic light,a dog in a car on a street near a ,traffic light
196843,bicycle,an old school bus with a bicycle in front of it,an old school bus with a  in front of it,bicycle
196843,bus,A school bus covered in art and a sign.,A school  covered in art and a sign.,bus
138550,fire hydrant,Orange fire hydrant on the sidewalk in a commercial area,Orange  on the sidewalk in a commercial area,fire hydrant
244019,fire hydrant,"A fire hydrant is painted red, white and blue and sits on a sidewalk in front of a brick wall that shows graffiti.","A  is painted red, white and blue and sits on a sidewalk in front of a brick wall that shows graffiti.",fire hydrant
439623,car,a white fire hydrant in front of a red car ,a white fire hydrant in front of a red  ,car
439623,fire hydrant,A white fire hydrant sitting on a  sidewalk.,A white  sitting on a  sidewalk.,fire hydrant
343315,fire hydrant,A red fire hydrant sitting on a patch of green grass.,A red  sitting on a patch of green grass.,fire hydrant
46804,sheep,A sheep standing in grass next to a rock wall.,A  standing in grass next to a rock wall.,sheep
340451,bench,Man sitting on park bench waving and wearing water protective clothing. ,Man sitting on park  waving and wearing water protective clothing. ,bench
340451,person,a person sitting on a bench wearing some boots and yellow jacket,a  sitting on a bench wearing some boots and yellow jacket,person
480842,giraffe,Two tall giraffe standing next to each other.,Two tall  standing next to each other.,giraffe
436883,bus,"A green bus traveling down the street, in a city.","A green  traveling down the street, in a city.",bus
546556,sheep,A group of sheep that are in the grass.,A group of  that are in the grass.,sheep
459500,bird,A clock sitting on a post above the statues of two birds.,A clock sitting on a post above the statues of two .,birds
459500,clock,A clock between two bronze flamingo statues on a black box.,A  between two bronze flamingo statues on a black box.,clock
50165,train,Small train running down the tracks in the middle of a field.,Small  running down the tracks in the middle of a field.,train
158956,knife,A woman is cutting into a cake with a large knife.,A woman is cutting into a cake with a large .,knife
158956,cake,A woman is cutting into a cake with a large knife.,A woman is cutting into a  with a large knife.,cake
311883,train,A train moving along a track during the day.,A  moving along a track during the day.,train
100723,person,A large group of people standing in the street.,A large group of  standing in the street.,people
431896,train,A yellow and red train traveling down train tracks.,A yellow and red  traveling down  tracks.,train
442456,car,A man sits on the tires of a car that rests on the ground. ,A man sits on the tires of a  that rests on the ground. ,car
442456,truck,Man in red shirt and black pants standing next to white flatbed truck cab next to a set of new tires.,Man in red shirt and black pants standing next to white flatbed  cab next to a set of new tires.,truck
79229,dog,a dog following a man on his horse in a field,a  following a man on his horse in a field,dog
79229,horse,a dog following a man on his horse in a field,a dog following a man on his  in a field,horse
188439,truck,A colorful truck is driving with a full load of sticks and twigs.,A colorful  is driving with a full load of sticks and twigs.,truck
46872,car,two males a truck some cars and trees,two males a truck some  and trees,cars
46872,truck,A man standing along side of a truck trailer.,A man standing along side of a  trailer.,truck
219485,cat,A cat sitting on a window sill in a room.,A  sitting on a window sill in a room.,cat
532575,dog,A dog rests his head on the edge of a boat at sea.,A  rests his head on the edge of a boat at sea.,dog
532575,boat,A dog rests his head on the edge of a boat at sea.,A dog rests his head on the edge of a  at sea.,boat
489014,dog,A dog that is standing on the side of a boat.,A  that is standing on the side of a boat.,dog
489014,boat,A dog that is standing on the side of a boat.,A dog that is standing on the side of a .,boat
489014,person,A dog on a boat with a person in the water.,A dog on a boat with a  in the water.,person
281929,bicycle,A man dressed in a suit standing next to his bicycle.,A man dressed in a suit standing next to his .,bicycle
257896,tie,a close up of a person wearing a suit and tie,a close up of a person wearing a suit and ,tie
257896,person,a close up of a person wearing a suit and tie,a close up of a  wearing a suit and tie,person
203580,umbrella,"A sidewalk with sandwich board, table and umbrella.","A sidewalk with sandwich board, table and .",umbrella
203580,bench,a bench outdoors with an open umbrella ,a  outdoors with an open umbrella ,bench
493284,elephant,A group of adult and young elephants walking. ,A group of adult and young  walking. ,elephants
28449,elephant,A group of elephants are standing in the trees.,A group of  are standing in the trees.,elephants
179174,person,A large stack of trunks and luggage on a sidewalk with people behind it.,A large stack of trunks and luggage on a sidewalk with  behind it.,people
179174,suitcase,There are lots and lots of suitcases stacked up together.,There are lots and lots of  stacked up together.,suitcases
393115,person,A picture of a person on a skateboard.,A picture of a  on a skateboard.,person
393115,skateboard,A man has one foot on his skateboard,A man has one foot on his ,skateboard
370813,skateboard,A skateboarder's airborne feet and skateboard near a curb,A er's airborne feet and  near a curb,skateboard
370813,person,a person jumping a skate board in the air ,a  jumping a skate board in the air ,person
442746,frisbee,a woman on some grass is throwing a green frisbee,a woman on some grass is throwing a green ,frisbee
236592,dog,A dog eyeballing something cooking in the oven.,A  eyeballing something cooking in the oven.,dog
236592,oven,A dog eyeballing something cooking in the oven.,A dog eyeballing something cooking in the .,oven
116589,zebra,A group of zebras stay close to each other near a log. ,A group of  stay close to each other near a log. ,zebras
369541,dog,A dog catching a Frisbee in the grass.,A  catching a Frisbee in the grass.,dog
369541,frisbee,The black and white dog just got the frisbee.,The black and white dog just got the .,frisbee
122969,zebra,two zebras are standing together in the woods,two  are standing together in the woods,zebras
381971,horse,A horse drawn carriage is near a fire hydrant by a curb.,A  drawn carriage is near a fire hydrant by a curb.,horse
381971,person,A horse and carriage with people riding in it.,A horse and carriage with  riding in it.,people
381971,fire hydrant,A horse drawn carriage is near a fire hydrant by a curb.,A horse drawn carriage is near a  by a curb.,fire hydrant
236730,zebra,A zebra staring blankly near a watering hole.,A  staring blankly near a watering hole.,zebra
396863,horse,A young girl riding a horse next to a lake.,A young girl riding a  next to a lake.,horse
576052,horse,A female horse rider mounted near a body of water and mountains.,A female  rider mounted near a body of water and mountains.,horse
576052,person,a person on a horse and some snow on some mountains,a  on a horse and some snow on some mountains,person
344888,horse,A couple of horses by a fence on a field.,A couple of  by a fence on a field.,horses
51712,skis,a man standing on a pair of skis and coming down a snow covered hill,a man standing on a pair of  and coming down a snow covered hill,skis
480275,banana,A wooden wagon with wheels topped with bunches of bananas.,A wooden wagon with wheels topped with bunches of .,bananas
220764,person,A person cross country skiing across a snow filled plain.,A  cross country skiing across a snow filled plain.,person
220764,skis,A person riding skis across snow covered ground.,A person riding  across snow covered ground.,skis
493799,carrot,"A plate of food containing carrots, potatoes and meat.","A plate of food containing , potatoes and meat.",carrots
312720,person,A person on skis flies through the air on a rope.,A  on skis flies through the air on a rope.,person
312720,skis,A person on skis flies through the air on a rope.,A person on  flies through the air on a rope.,skis
461009,apple,A man holding an apple between his fingers.,A man holding an  between his fingers.,apple
143998,knife,A bunch of carrots on a knife sitting on a cutting board.,A bunch of carrots on a  sitting on a cutting board.,knife
143998,carrot,A group of carrots with an organically grown strip tag around them.,A group of  with an organically grown strip tag around them.,carrots
546626,bottle,"The cell phone is next to a pear, a mug, and a bottle of tea.","The cell phone is next to a pear, a mug, and a  of tea.",bottle
546626,cell phone,"The cell phone is next to a pear, a mug, and a bottle of tea.","The  is next to a pear, a mug, and a bottle of tea.",cell phone
546626,cup,"An apple, a phone, and a cup sitting on a table. ","An apple, a phone, and a  sitting on a table. ",cup
563648,person,a person riding a skate board on a skate park,a  riding a skate board on a skate park,person
532855,skateboard,A man grinding his skateboard on a rail.,A man grinding his  on a rail.,skateboard
38210,skis,A man in a racing bib in his skis and a beanie. ,A man in a racing bib in his  and a beanie. ,skis
563349,person,A person on a board holding a para sail rope over a snow field.,A  on a board holding a para sail rope over a snow field.,person
563349,snowboard,A person up in the air on a snowboard.,A person up in the air on a .,snowboard
311950,hot dog,A hot dog on a bun covered in ketchup and mustard.,A  on a bun covered in ketchup and mustard.,hot dog
10583,knife,A large pile of food on a plate with knife.,A large pile of food on a plate with .,knife
250901,sandwich,a couple of  people surround a sandwich and a wrap from publix,a couple of  people surround a  and a wrap from publix,sandwich
250901,person,A group of people getting their food from a bag.,A group of  getting their food from a bag.,people
74457,person,"A person walks on the beach, carrying a surf board.","A  walks on the beach, carrying a surf board.",person
74457,surfboard,A  man standing on a beach while holding a white surfboard.,A  man standing on a beach while holding a white .,surfboard
190007,surfboard,Man on surfboard riding large breaking wave at ocean.,Man on  riding large breaking wave at ocean.,surfboard
177357,surfboard,a man is riding on a surfboard at the beach,a man is riding on a  at the beach,surfboard
185292,person,a person is on a surfboard in the water,a  is on a surfboard in the water,person
185292,surfboard,A man riding a wave on top of a surfboard.,A man riding a wave on top of a .,surfboard
493864,person,A man in a wet suit holding a surf board with another person in the back ground near the ocean holding a surf board also.,A man in a wet suit holding a surf board with another  in the back ground near the ocean holding a surf board also.,person
493864,surfboard,a man holding onto a surfboard while standing on the beach ,a man holding onto a  while standing on the beach ,surfboard
102820,cake,Young girls sitting on wooden decking with decorated cake.,Young girls sitting on wooden decking with decorated .,cake
51976,surfboard,A man on a surfboard riding a wave in the ocean.,A man on a  riding a wave in the ocean.,surfboard
51976,person,A person on a surf board riding a wave.,A  on a surf board riding a wave.,person
381360,surfboard,"A man on a surfboard, surfing in the ocean.","A man on a , surfing in the ocean.",surfboard
304812,person,A person walking across a beach next to the ocean.,A  walking across a beach next to the ocean.,person
304812,surfboard,A person carrying a surfboard on the beach at sunset.,A person carrying a  on the beach at sunset.,surfboard
333237,bed,There is a room with rose wallpaper and a large bed.,There is a room with rose wallpaper and a large .,bed
74733,pizza,A table topped with three mugs of beer and two pizza's.,A table topped with three mugs of beer and two 's.,pizza
258883,person,A person cooking some food on a grill.,A  cooking some food on a grill.,person
55950,tennis racket,a man is on a court with a tennis racket,a man is on a court with a ,tennis racket
175251,toothbrush,A little boy that has a toothbrush in his mouth.,A little boy that has a  in his mouth.,toothbrush
467176,person,A group of people are gathered around at television playing WII.,A group of  are gathered around at television playing WII.,people
368212,toothbrush,A toddler with a toothbrush sitting on top of the lid of a toilet.,A toddler with a  sitting on top of the lid of a toilet.,toothbrush
368212,toilet,Baby brushing teeth while sitting on a toilet.,Baby brushing teeth while sitting on a .,toilet
190637,remote,A small child lounges with a remote in his hand.,A small child lounges with a  in his hand.,remote
190637,bed,a small child laying in bed playing nintendo wii,a small child laying in  playing nintendo wii,bed
300341,person,A couple of people standing in a room with some remotes.,A couple of  standing in a room with some remotes.,people
300341,remote,A couple of people standing in a room with some remotes.,A couple of people standing in a room with some .,remotes
445792,couch,there is a woman sitting on a couch playing a video game,there is a woman sitting on a  playing a video game,couch
445792,remote,A woman that is sitting on a couch holding a remote.,A woman that is sitting on a couch holding a .,remote
239318,laptop,A laptop computer sitting on top of a wooden desk.,A  computer sitting on top of a wooden desk.,laptop
239318,keyboard,a laptop on a desk with an extra keyboard,a laptop on a desk with an extra ,keyboard
47769,couch,"The small room has a couch, a television, and a table with two stools.","The small room has a , a television, and a table with two stools.",couch
1503,laptop,A computer on a desk next to a laptop.,A computer on a desk next to a .,laptop
284743,person,A group of people staring at a woman holding a bat.,A group of  staring at a woman holding a bat.,people
284743,baseball bat,A girl being photographed holding a baseball bat.,A girl being photographed holding a .,baseball bat
65798,person,A baseball game with a bunch of people in the stands. ,A baseball game with a bunch of  in the stands. ,people
312192,bottle,"A plate with pizza, lettuce and ham sit on a plate white we see hands holding silverware and a bottle of wine with glasses.","A plate with pizza, lettuce and ham sit on a plate white we see hands holding silverware and a  of wine with glasses.",bottle
312192,pizza,"A plate with pizza, lettuce and ham sit on a plate white we see hands holding silverware and a bottle of wine with glasses.","A plate with , lettuce and ham sit on a plate white we see hands holding silverware and a bottle of wine with glasses.",pizza
154705,laptop,"A small office with a laptop, computer, and a printer.","A small office with a , computer, and a printer.",laptop
192904,bed,The tray on the bed has a pastry and two mugs on it.,The tray on the  has a pastry and two mugs on it.,bed
132375,vase,a glass vase with three pink flowers and a drink,a glass  with three pink flowers and a drink,vase
384661,refrigerator,"An oven with a stove, pots and utensils, and a refrigerator next to it.","An oven with a stove, pots and utensils, and a  next to it.",refrigerator
384661,oven,"An oven with a stove, pots and utensils, and a refrigerator next to it.","An  with a stove, pots and utensils, and a refrigerator next to it.",oven
341828,cell phone,"A black and white photo of a man on a cell phone.
","A black and white photo of a man on a .
",cell phone
282296,refrigerator,"Old refrigerator in dark, messy store room with tiled floor.","Old  in dark, messy store room with tiled floor.",refrigerator
322959,fork,Bread and fruit are on a table with a knife and fork.,Bread and fruit are on a table with a knife and .,fork
322959,knife,Bread and fruit are on a table with a knife and fork.,Bread and fruit are on a table with a  and fork.,knife
322959,orange,"Some bread, ham, fruit, jam, and a glass of orange juice","Some bread, ham, fruit, jam, and a glass of  juice",orange
546976,motorcycle,A man riding on the back of a motorcycle.,A man riding on the back of a .,motorcycle
52996,person,A group of people standing in a kitchen.,A group of  standing in a kitchen.,people
522007,microwave,"The view of a kitchen's microwave, oven, and cabinets.","The view of a kitchen's , oven, and cabinets.",microwave
522007,oven,"The view of a kitchen's microwave, oven, and cabinets.","The view of a kitchen's microwave, , and cabinets.",oven
423123,refrigerator,A woman is bent over next to a small refrigerator.,A woman is bent over next to a small .,refrigerator
423123,person,two people bent over to look into a little fridge,two  bent over to look into a little fridge,people
570736,toilet,"A bathroom with a vanity, toilet and shower.","A bathroom with a vanity,  and shower.",toilet
570736,sink,The bathroom features a vanity sink and tub/shower combination.,The bathroom features a vanity  and tub/shower combination.,sink
45596,bicycle,The passage between the modern buildings is used by bicycle riders.,The passage between the modern buildings is used by  riders.,bicycle
232649,toilet,A bathroom has the blue toilet seat off.,A bathroom has the blue  seat off.,toilet
232649,sink,A blue toilet sitting next to a bathroom sink in a bathroom.,A blue toilet sitting next to a bathroom  in a bathroom.,sink
70774,bird,A motorcycle parked outside of a building with bird cages.,A motorcycle parked outside of a building with  cages.,bird
70774,bicycle,Small motorcycle with several bicycles tied to the back of it. ,Small motorcycle with several  tied to the back of it. ,bicycles
70774,motorcycle,Small motorcycle with several bicycles tied to the back of it. ,Small  with several bicycles tied to the back of it. ,motorcycle
172330,cat,A cat in between two cars in a parking lot.,A  in between two cars in a parking lot.,cat
172330,car,A cat in between two cars in a parking lot.,A cat in between two  in a parking lot.,cars
123585,bird,a few birds eating stuff off the ground,a few  eating stuff off the ground,birds
455981,toilet,A white toilet that does not have it's seat down.,A white  that does not have it's seat down.,toilet
193926,banana,A series of photos showing a banana holder.,A series of photos showing a  holder.,banana
192699,motorcycle,Two people wearing helmets while riding their motorcycles.,Two people wearing helmets while riding their .,motorcycles
192699,person,Two people stand near a bike wearing helmets.,Two  stand near a bike wearing helmets.,people
560312,couch,The inside of a warehouse building with brown couches,The inside of a warehouse building with brown ,couches
44652,airplane,An single passanger in an airplane flying through the sky,An single passanger in an  flying through the sky,airplane
498857,giraffe,A giraffe eats leaves through a wire fence.,A  eats leaves through a wire fence.,giraffe
575187,giraffe,A giraffe sticks his nose and tongue out of a wire fence to accept something a man is offering him.,A  sticks his nose and tongue out of a wire fence to accept something a man is offering him.,giraffe
319607,bicycle,A man is riding on bicycle alongside a new construction building.,A man is riding on  alongside a new construction building.,bicycle
319607,traffic light,A bent traffic light next to the side of a street.,A bent  next to the side of a street.,traffic light
302452,giraffe,A giraffe drinking milk from a bottle behind a cage.,A  drinking milk from a bottle behind a cage.,giraffe
302452,person,A giraffe drinking from a bottle in front of a group of people.,A giraffe drinking from a bottle in front of a group of .,people
302452,bottle,A giraffe drinking milk from a bottle behind a cage.,A giraffe drinking milk from a  behind a cage.,bottle
201934,bus,A white bus parked next to a sidewalk near a fence.,A white  parked next to a sidewalk near a fence.,bus
58393,person,Two people sitting on a bench silhouetted against the sea.,Two  sitting on a bench silhouetted against the sea.,people
58393,bench,Two people sitting on a bench silhouetted against the sea.,Two people sitting on a  silhouetted against the sea.,bench
353180,person,A group of people that are behind a bus.,A group of  that are behind a bus.,people
353180,bus,A group of people that are behind a bus.,A group of people that are behind a .,bus
423519,bus,a public transit bus on a city street ,a public transit  on a city street ,bus
461573,bench,A metal park bench sitting next to a small road.,A metal park  sitting next to a small road.,bench
516804,bus,A bus stop sign with a large building in the background.,A  stop sign with a large building in the background.,bus
